Model,MDO3104
Firmware Version,1.26

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.0002,,
Horizontal Delay,0.000892,,
Sample Interval,2e-07,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.1,0.02
Vertical Position,-0.04,-5,-0.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-2.0600e-05,0.44,inf,-0.006
-2.0400e-05,0.48,inf,0.0004
-2.0200e-05,0.44,inf,-0.0012
-2.0000e-05,0.44,inf,0.0036
-1.9800e-05,0.44,inf,-0.0012
-1.9600e-05,0.4,inf,-0.0004
-1.9400e-05,0.4,inf,-0.0028
-1.9200e-05,0.52,inf,0.0004
-1.9000e-05,0.44,inf,-0.002
-1.8800e-05,0.56,inf,-0.0004
-1.8600e-05,0.44,inf,-0.0012
-1.8400e-05,0.44,inf,0.002
-1.8200e-05,0.48,inf,0.0028
-1.8000e-05,0.52,inf,0.0012
-1.7800e-05,0.48,inf,-0.002
-1.7600e-05,0.44,inf,0.0004
-1.7400e-05,0.44,inf,-0.002
-1.7200e-05,0.44,inf,0.0012
-1.7000e-05,0.4,inf,-0.0004
-1.6800e-05,0.4,inf,0.002
-1.6600e-05,0.44,inf,0.0004
-1.6400e-05,0.4,inf,0.002
-1.6200e-05,0.44,inf,-0.002
-1.6000e-05,0.4,inf,-0.0004
-1.5800e-05,0.4,inf,-0.0044
-1.5600e-05,0.44,inf,0.002
-1.5400e-05,0.4,inf,0.0012
-1.5200e-05,0.48,inf,0.002
-1.5000e-05,0.4,inf,0.0004
-1.4800e-05,0.44,inf,0.0036
-1.4600e-05,0.44,inf,-0.002
-1.4400e-05,0.44,inf,0.0004
-1.4200e-05,0.44,inf,-0.0068
-1.4000e-05,0.44,inf,-0.0012
-1.3800e-05,0.44,inf,0.0004
-1.3600e-05,0.36,inf,0.0036
-1.3400e-05,0.36,inf,0.002
-1.3200e-05,0.36,inf,0.0044
-1.3000e-05,0.32,inf,-0.0012
-1.2800e-05,0.36,inf,0.0012
-1.2600e-05,0.36,inf,-0.006
-1.2400e-05,0.4,inf,-0.002
-1.2200e-05,0.36,inf,-0.0044
-1.2000e-05,0.36,inf,0.0012
-1.1800e-05,0.36,inf,-0.002
-1.1600e-05,0.36,inf,0.0036
-1.1400e-05,0.32,inf,-0.0028
-1.1200e-05,0.32,inf,0.0036
-1.1000e-05,0.32,inf,-0.0036
-1.0800e-05,0.28,inf,0.0012
-1.0600e-05,0.32,inf,-0.0044
-1.0400e-05,0.24,inf,-0.0004
-1.0200e-05,0.32,inf,-0.0004
-1.0000e-05,0.32,inf,0.0028
-9.8000e-06,0.32,inf,0.0004
-9.6000e-06,0.24,inf,-0.002
-9.4000e-06,0.24,inf,-0.0012
-9.2000e-06,0.32,inf,-0.0036
-9.0000e-06,0.32,inf,-0.0004
-8.8000e-06,0.24,inf,-0.0036
-8.6000e-06,0.24,inf,0.0012
-8.4000e-06,0.28,inf,-0.0012
-8.2000e-06,0.28,inf,0.002
-8.0000e-06,0.28,inf,-0.002
-7.8000e-06,0.24,inf,0.002
-7.6000e-06,0.24,inf,-0.0036
-7.4000e-06,0.2,inf,0.0012
-7.2000e-06,0.2,inf,-0.002
-7.0000e-06,0.2,inf,0.0004
-6.8000e-06,0.16,inf,-0.0012
-6.6000e-06,0.24,inf,0.0028
-6.4000e-06,0.16,inf,-0.002
-6.2000e-06,0.2,inf,-0.0028
-6.0000e-06,0.12,inf,-0.006
-5.8000e-06,0.2,inf,-0.0004
-5.6000e-06,0.16,inf,-0.002
-5.4000e-06,0.16,inf,0.0004
-5.2000e-06,0.08,inf,-0.0012
-5.0000e-06,0.12,inf,0.0036
-4.8000e-06,0.16,inf,-0.0004
-4.6000e-06,0.16,inf,-0.0004
-4.4000e-06,0.12,inf,-0.0052
-4.2000e-06,0.12,inf,-0.0036
-4.0000e-06,0.08,inf,-0.006
-3.8000e-06,0.08,inf,0.0004
-3.6000e-06,0.12,inf,-0.0004
-3.4000e-06,0.04,inf,0.0036
-3.2000e-06,0.08,inf,0.0004
-3.0000e-06,0.08,inf,0.0004
-2.8000e-06,0.04,inf,-0.0036
-2.6000e-06,0.04,inf,-0.002
-2.4000e-06,0.04,inf,-0.0068
-2.2000e-06,0,inf,-0.0036
-2.0000e-06,0.04,inf,-0.0036
-1.8000e-06,0.04,inf,0.0012
-1.6000e-06,0,inf,-0.0012
-1.4000e-06,0,inf,-0.0012
-1.2000e-06,0,inf,-0.0028
-1.0000e-06,0,inf,-0.0012
-8.0000e-07,0,inf,-0.0044
-6.0000e-07,-0.04,inf,-0.0036
-4.0000e-07,-0.04,inf,-0.0028
-2.0000e-07,-0.04,inf,-0.0004
0.0000e+00,-0.04,inf,-0.0028
2.0000e-07,-0.04,inf,-0.0004
4.0000e-07,-0.08,inf,-0.0052
6.0000e-07,-0.12,inf,-0.0028
8.0000e-07,-0.16,inf,-0.0068
1.0000e-06,-0.04,inf,-0.0004
1.2000e-06,-0.08,inf,-0.0068
1.4000e-06,-0.12,inf,0.0012
1.6000e-06,-0.12,inf,-0.0028
1.8000e-06,-0.12,inf,0.0028
2.0000e-06,-0.12,inf,-0.006
2.2000e-06,-0.2,inf,-0.002
2.4000e-06,-0.12,inf,-0.01
2.6000e-06,-0.24,inf,-0.0004
2.8000e-06,-0.2,inf,-0.0068
3.0000e-06,-0.2,inf,-0.0004
3.2000e-06,-0.24,inf,-0.006
3.4000e-06,-0.24,inf,0.0004
3.6000e-06,-0.28,inf,-0.0044
3.8000e-06,-0.28,inf,-0.006
4.0000e-06,-0.24,inf,-0.0068
4.2000e-06,-0.24,inf,-0.0052
4.4000e-06,-0.24,inf,-0.0028
4.6000e-06,-0.32,inf,0.0012
4.8000e-06,-0.28,inf,-0.0012
5.0000e-06,-0.24,inf,-0.0012
5.2000e-06,-0.28,inf,-0.0044
5.4000e-06,-0.32,inf,-0.006
5.6000e-06,-0.32,inf,-0.0076
5.8000e-06,-0.28,inf,-0.0076
6.0000e-06,-0.28,inf,-0.006
6.2000e-06,-0.36,inf,-0.0028
6.4000e-06,-0.36,inf,-0.0004
6.6000e-06,-0.32,inf,-0.0004
6.8000e-06,-0.36,inf,-0.002
7.0000e-06,-0.36,inf,-0.0052
7.2000e-06,-0.32,inf,-0.0052
7.4000e-06,-0.36,inf,-0.0076
7.6000e-06,-0.36,inf,-0.006
7.8000e-06,-0.36,inf,-0.0084
8.0000e-06,-0.4,inf,-0.0028
8.2000e-06,-0.36,inf,-0.0036
8.4000e-06,-0.36,inf,-0.0004
8.6000e-06,-0.4,inf,-0.0068
8.8000e-06,-0.44,inf,-0.0036
9.0000e-06,-0.44,inf,-0.0076
9.2000e-06,-0.4,inf,-0.002
9.4000e-06,-0.44,inf,-0.01
9.6000e-06,-0.44,inf,-0.0036
9.8000e-06,-0.44,inf,-0.0076
1.0000e-05,-0.4,inf,-0.0004
1.0200e-05,-0.44,inf,-0.0092
1.0400e-05,-0.4,inf,-0.0036
1.0600e-05,-0.48,inf,-0.01
1.0800e-05,-0.48,inf,-0.0044
